rank_date,country_full,rank,total_points
2005-01-01,Australia,23,1871.2
2005-01-01,Ivory Coast,28,1793.7
2005-01-01,Algeria,24,1759.8
2005-01-01,Egypt,27,1751.4
2005-01-01,Canada,29,1771.3
2005-01-01,Tunisia,32,1835.2
2005-01-01,Paraguay,34,1745.5
2005-01-01,Peru,31,1728.2
2005-01-01,Ghana,34,1673.1
2005-01-01,Saudi Arabia,35,1689.6
2005-01-01,Cabo Verde,35,1759.8
2005-01-01,Slovakia,41,1665.4
2005-01-01,Scotland,40,1715.9
2005-01-01,Jordan,40,1694.1
2005-01-01,Czechia,44,1676.1
2005-01-01,South Africa,38,1589.6
2005-01-01,Venezuela,45,1677.2
2005-01-01,Chile,43,1622.7
2005-01-01,Bolivia,45,1641.4
2005-01-01,Indonesia,41,1650.0
2005-01-01,New Zealand,47,1619.7
2005-01-01,Costa Rica,44,1603.2
2005-01-01,Curaçao,47,1620.2
2005-01-01,Honduras,48,1597.6
2005-01-01,DR Congo,48,1625.6
2005-01-01,Kenya,45,1613.2
2005-01-01,Panama,49,1612.3
2005-01-01,Bosnia and Herzegovina,49,1597.1
2005-01-01,Qatar,52,1604.1
2005-01-01,Haiti,57,1532.6
2005-01-01,Cuba,53,1526.8
2005-01-01,Iraq,55,1535.7
2005-01-01,Trinidad and Tobago,56,1553.1
2005-01-01,Uzbekistan,64,1483.2
2005-02-01,France,1,1954.7
2005-02-01,Spain,2,1956.1
2005-02-01,Argentina,2,1955.8
2005-02-01,England,3,1960.8
2005-02-01,Portugal,8,1983.1
2005-02-01,Brazil,9,1979.1
2005-02-01,Netherlands,4,1930.0
2005-02-01,Morocco,6,1982.6
2005-02-01,Belgium,5,1915.8
2005-02-01,Germany,7,1926.6
2005-02-01,Croatia,12,1929.2
2005-02-01,Austria,10,1916.3
2005-02-01,Colombia,14,1883.3
2005-02-01,Senegal,17,1960.9
2005-02-01,Mexico,13,1868.8
2005-02-01,United States,16,1876.4
2005-02-01,Uruguay,15,1833.6
2005-02-01,Japan,21,1834.1
2005-02-01,Switzerland,20,1868.9
2005-02-01,Norway,20,1836.1
2005-02-01,Iran,25,1841.1
2005-02-01,Turkey,21,1770.8
2005-02-01,Ecuador,23,1789.5
2005-02-01,Sweden,26,1796.9
2005-02-01,South Korea,21,1823.8
2005-02-01,Nigeria,23,1763.2
2005-02-01,Australia,30,1769.1
2005-02-01,Ivory Coast,28,1762.2
2005-02-01,Algeria,30,1815.5
2005-02-01,Egypt,26,1767.3
2005-02-01,Canada,29,1738.7
2005-02-01,Tunisia,28,1711.3
2005-02-01,Paraguay,29,1791.6
2005-02-01,Peru,32,1721.7
2005-02-01,Ghana,38,1744.7
2005-02-01,Saudi Arabia,36,1731.0
2005-02-01,Cabo Verde,39,1747.0
2005-02-01,Slovakia,38,1676.4
2005-02-01,Scotland,35,1660.7
2005-02-01,Jordan,35,1687.0
2005-02-01,Czechia,42,1664.0
2005-02-01,South Africa,45,1665.8
2005-02-01,Venezuela,38,1671.3
2005-02-01,Chile,40,1637.0
2005-02-01,Bolivia,46,1648.4
2005-02-01,Indonesia,47,1653.1
2005-02-01,New Zealand,45,1640.3
2005-02-01,Costa Rica,51,1589.6
2005-02-01,Curaçao,46,1630.4
2005-02-01,Honduras,51,1596.1
2005-02-01,DR Congo,50,1638.2
2005-02-01,Kenya,50,1604.3
2005-02-01,Panama,48,1613.8
2005-02-01,Bosnia and Herzegovina,50,1591.5
2005-02-01,Qatar,50,1629.6
2005-02-01,Haiti,57,1532.3
2005-02-01,Cuba,55,1641.3
2005-02-01,Iraq,56,1576.5
2005-02-01,Trinidad and Tobago,52,1568.9
2005-02-01,Uzbekistan,60,1504.5
2005-03-01,France,1,2009.0
2005-03-01,Spain,1,2030.8
2005-03-01,Argentina,1,1952.3
2005-03-01,England,5,1964.6
2005-03-01,Portugal,2,1947.6
2005-03-01,Brazil,9,1915.9
2005-03-01,Netherlands,10,1949.4
2005-03-01,Morocco,11,1925.8
2005-03-01,Belgium,5,1930.4
2005-03-01,Germany,8,1951.4
2005-03-01,Croatia,15,1913.3
2005-03-01,Austria,16,1945.5
2005-03-01,Colombia,11,1927.1
2005-03-01,Senegal,16,1879.8
2005-03-01,Mexico,11,1800.8
2005-03-01,United States,17,1849.8
2005-03-01,Uruguay,18,1870.6
2005-03-01,Japan,22,1880.1
2005-03-01,Switzerland,23,1886.9
2005-03-01,Norway,16,1863.4
2005-03-01,Iran,25,1867.2
2005-03-01,Turkey,21,1834.7
2005-03-01,Ecuador,26,1857.9
2005-03-01,Sweden,21,1755.0
2005-03-01,South Korea,28,1815.9
2005-03-01,Nigeria,23,1718.6
2005-03-01,Australia,25,1789.5
2005-03-01,Ivory Coast,30,1764.2
2005-03-01,Algeria,25,1781.8
2005-03-01,Egypt,26,1840.9
2005-03-01,Canada,28,1782.6
2005-03-01,Tunisia,29,1773.1
2005-03-01,Paraguay,29,1758.3
2005-03-01,Peru,32,1734.8
2005-03-01,Ghana,36,1725.8
2005-03-01,Saudi Arabia,35,1763.1
2005-03-01,Cabo Verde,37,1683.1
2005-03-01,Slovakia,38,1706.8
2005-03-01,Scotland,39,1659.2
2005-03-01,Jordan,39,1692.6
2005-03-01,Czechia,41,1710.1
2005-03-01,South Africa,45,1680.0
2005-03-01,Venezuela,38,1651.1
2005-03-01,Chile,40,1688.3
2005-03-01,Bolivia,44,1621.5
2005-03-01,Indonesia,45,1660.4
2005-03-01,New Zealand,43,1630.5
2005-03-01,Costa Rica,45,1612.3
2005-03-01,Curaçao,47,1647.5
2005-03-01,Honduras,46,1590.3
2005-03-01,DR Congo,46,1625.6
2005-03-01,Kenya,52,1605.8
2005-03-01,Panama,54,1577.8
2005-03-01,Bosnia and Herzegovina,52,1611.0
2005-03-01,Qatar,56,1617.5
2005-03-01,Haiti,54,1613.4
2005-03-01,Cuba,58,1630.1
2005-03-01,Iraq,58,1547.5
2005-03-01,Trinidad and Tobago,59,1541.5
2005-03-01,Uzbekistan,59,1453.7
2005-04-01,France,1,1967.5
2005-04-01,Spain,5,1935.4
2005-04-01,Argentina,1,1969.6
2005-04-01,England,7,2004.9
2005-04-01,Portugal,9,1937.4
2005-04-01,Brazil,8,1955.4
2005-04-01,Netherlands,8,1956.1
2005-04-01,Morocco,5,1953.2
2005-04-01,Belgium,13,1924.7
2005-04-01,Germany,11,1945.3
2005-04-01,Croatia,14,1959.9
2005-04-01,Austria,14,1924.3
2005-04-01,Colombia,14,1863.1
2005-04-01,Senegal,13,1890.8
2005-04-01,Mexico,15,1865.4
2005-04-01,United States,13,1878.1
2005-04-01,Uruguay,19,1836.7
2005-04-01,Japan,14,1830.3
2005-04-01,Switzerland,21,1822.6
2005-04-01,Norway,22,1782.0
2005-04-01,Iran,22,1860.0
2005-04-01,Turkey,19,1777.8
2005-04-01,Ecuador,20,1771.1
2005-04-01,Sweden,21,1799.1
2005-04-01,South Korea,24,1841.8
2005-04-01,Nigeria,24,1826.7
2005-04-01,Australia,29,1796.6
2005-04-01,Ivory Coast,31,1761.9
2005-04-01,Algeria,27,1776.2
2005-04-01,Egypt,33,1754.7
2005-04-01,Canada,33,1755.8
2005-04-01,Tunisia,32,1806.0
2005-04-01,Paraguay,33,1763.5
2005-04-01,Peru,37,1707.4
2005-04-01,Ghana,31,1769.9
2005-04-01,Saudi Arabia,40,1734.2
2005-04-01,Cabo Verde,39,1681.7
2005-04-01,Slovakia,35,1723.6
2005-04-01,Scotland,38,1662.2
2005-04-01,Jordan,35,1686.2
2005-04-01,Czechia,36,1678.2
2005-04-01,South Africa,45,1690.5
2005-04-01,Venezuela,44,1690.6
2005-04-01,Chile,41,1657.4
2005-04-01,Bolivia,42,1656.3
2005-04-01,Indonesia,48,1707.2
2005-04-01,New Zealand,49,1603.3
2005-04-01,Costa Rica,51,1634.1
2005-04-01,Curaçao,47,1625.3
2005-04-01,Honduras,45,1602.7
2005-04-01,DR Congo,50,1661.6
2005-04-01,Kenya,45,1568.4
2005-04-01,Panama,53,1593.5
2005-04-01,Bosnia and Herzegovina,50,1569.2
2005-04-01,Qatar,56,1549.1
2005-04-01,Haiti,57,1603.6
2005-04-01,Cuba,55,1634.0
2005-04-01,Iraq,57,1553.6
2005-04-01,Trinidad and Tobago,51,1528.3
2005-04-01,Uzbekistan,62,1513.9
2005-05-01,France,1,2053.8
2005-05-01,Spain,1,1972.3
2005-05-01,Argentina,4,1968.4
2005-05-01,England,2,1943.8
2005-05-01,Portugal,3,2003.6
2005-05-01,Brazil,4,1918.4
2005-05-01,Netherlands,6,1935.4
2005-05-01,Morocco,10,1844.2
2005-05-01,Belgium,10,1894.7
2005-05-01,Germany,8,1904.5
2005-05-01,Croatia,11,1908.2
2005-05-01,Austria,10,1953.5
2005-05-01,Colombia,12,1958.1
2005-05-01,Senegal,10,1918.4
2005-05-01,Mexico,16,1944.1
2005-05-01,United States,13,1886.5
2005-05-01,Uruguay,16,1884.9
2005-05-01,Japan,17,1930.7
2005-05-01,Switzerland,21,1847.1
2005-05-01,Norway,19,1786.4
2005-05-01,Iran,22,1802.3
2005-05-01,Turkey,20,1772.4
2005-05-01,Ecuador,19,1861.7
2005-05-01,Sweden,25,1838.1
2005-05-01,South Korea,25,1834.5
2005-05-01,Nigeria,24,1739.2
2005-05-01,Australia,25,1792.5
2005-05-01,Ivory Coast,32,1742.2
2005-05-01,Algeria,32,1762.8
2005-05-01,Egypt,28,1814.8
2005-05-01,Canada,34,1703.4
2005-05-01,Tunisia,35,1783.3
2005-05-01,Paraguay,36,1779.7
2005-05-01,Peru,35,1707.7
2005-05-01,Ghana,31,1744.2
2005-05-01,Saudi Arabia,34,1705.6
2005-05-01,Cabo Verde,35,1702.6
2005-05-01,Slovakia,40,1679.4
2005-05-01,Scotland,34,1702.4
2005-05-01,Jordan,36,1683.1
2005-05-01,Czechia,42,1707.5
2005-05-01,South Africa,44,1595.2
2005-05-01,Venezuela,44,1678.9
2005-05-01,Chile,43,1647.6
2005-05-01,Bolivia,47,1641.5
2005-05-01,Indonesia,47,1684.0
2005-05-01,New Zealand,42,1646.2
2005-05-01,Costa Rica,43,1666.3
2005-05-01,Curaçao,43,1651.4
2005-05-01,Honduras,49,1626.6
2005-05-01,DR Congo,52,1581.8
2005-05-01,Kenya,52,1616.5
2005-05-01,Panama,48,1590.4
2005-05-01,Bosnia and Herzegovina,52,1533.5
2005-05-01,Qatar,51,1607.3
2005-05-01,Haiti,56,1609.1
2005-05-01,Cuba,54,1537.8
2005-05-01,Iraq,57,1588.4
2005-05-01,Trinidad and Tobago,59,1544.9
2005-05-01,Uzbekistan,59,1504.9
2005-06-01,France,1,1971.3
2005-06-01,Spain,6,1981.2
2005-06-01,Argentina,7,1954.6
2005-06-01,England,5,1958.3
2005-06-01,Portugal,4,1962.8
2005-06-01,Brazil,5,1961.6
2005-06-01,Netherlands,3,1926.7
2005-06-01,Morocco,10,1977.5
2005-06-01,Belgium,11,1928.1
2005-06-01,Germany,9,1911.0
2005-06-01,Croatia,12,1912.4
2005-06-01,Austria,10,1906.4
2005-06-01,Colombia,15,1926.2
2005-06-01,Senegal,14,1890.1
2005-06-01,Mexico,19,1876.9
2005-06-01,United States,13,1895.9
2005-06-01,Uruguay,16,1880.1
2005-06-01,Japan,15,1806.1
2005-06-01,Switzerland,22,1844.8
2005-06-01,Norway,21,1861.6
2005-06-01,Iran,17,1817.9
2005-06-01,Turkey,20,1836.9
2005-06-01,Ecuador,25,1854.0
2005-06-01,Sweden,28,1820.9
2005-06-01,South Korea,28,1777.2
2005-06-01,Nigeria,25,1755.2
2005-06-01,Australia,31,1800.8
2005-06-01,Ivory Coast,31,1792.1
2005-06-01,Algeria,32,1769.9
2005-06-01,Egypt,29,1795.9
2005-06-01,Canada,30,1728.1
2005-06-01,Tunisia,29,1730.4
2005-06-01,Paraguay,28,1745.4
2005-06-01,Peru,32,1777.9
2005-06-01,Ghana,33,1687.2
2005-06-01,Saudi Arabia,36,1694.6
2005-06-01,Cabo Verde,40,1674.3
2005-06-01,Slovakia,36,1689.7
2005-06-01,Scotland,40,1707.1
2005-06-01,Jordan,37,1702.3
2005-06-01,Czechia,40,1692.7
2005-06-01,South Africa,44,1672.8
2005-06-01,Venezuela,43,1623.9
2005-06-01,Chile,47,1684.5
2005-06-01,Bolivia,40,1654.0
2005-06-01,Indonesia,43,1640.5
2005-06-01,New Zealand,49,1573.3
2005-06-01,Costa Rica,45,1614.6
2005-06-01,Curaçao,44,1581.0
2005-06-01,Honduras,45,1648.6
2005-06-01,DR Congo,52,1666.6
2005-06-01,Kenya,46,1600.2
2005-06-01,Panama,49,1591.8
2005-06-01,Bosnia and Herzegovina,52,1553.0
2005-06-01,Qatar,54,1602.7
2005-06-01,Haiti,55,1637.2
2005-06-01,Cuba,58,1540.2
2005-06-01,Iraq,51,1552.6
2005-06-01,Trinidad and Tobago,51,1612.3
2005-06-01,Uzbekistan,60,1475.9
2005-07-01,France,1,2001.4
2005-07-01,Spain,1,2019.1
2005-07-01,Argentina,3,1940.8
2005-07-01,England,5,2026.9
2005-07-01,Portugal,2,2009.5
2005-07-01,Brazil,8,2003.7
2005-07-01,Netherlands,6,1962.0
2005-07-01,Morocco,12,1958.5
2005-07-01,Belgium,6,1954.3
2005-07-01,Germany,9,1957.2
2005-07-01,Croatia,8,1964.5
2005-07-01,Austria,15,1910.5
2005-07-01,Colombia,12,1887.2
2005-07-01,Senegal,13,1851.7
2005-07-01,Mexico,13,1877.2
2005-07-01,United States,17,1838.5
2005-07-01,Uruguay,19,1831.9
2005-07-01,Japan,21,1843.5
2005-07-01,Switzerland,22,1783.4
2005-07-01,Norway,20,1861.5
2005-07-01,Iran,20,1799.0
2005-07-01,Turkey,23,1892.6
2005-07-01,Ecuador,20,1753.3
2005-07-01,Sweden,27,1798.7
2005-07-01,South Korea,23,1809.4
2005-07-01,Nigeria,30,1771.8
2005-07-01,Australia,23,1806.2
2005-07-01,Ivory Coast,31,1771.8
2005-07-01,Algeria,25,1781.1
2005-07-01,Egypt,28,1755.2
2005-07-01,Canada,28,1729.7
2005-07-01,Tunisia,33,1741.2
2005-07-01,Paraguay,31,1756.0
2005-07-01,Peru,31,1764.3
2005-07-01,Ghana,35,1681.1
2005-07-01,Saudi Arabia,32,1763.1
2005-07-01,Cabo Verde,35,1695.9
2005-07-01,Slovakia,33,1718.5
2005-07-01,Scotland,39,1702.6
2005-07-01,Jordan,43,1660.2
2005-07-01,Czechia,43,1686.4
2005-07-01,South Africa,45,1694.4
2005-07-01,Venezuela,45,1657.2
2005-07-01,Chile,39,1651.3
2005-07-01,Bolivia,44,1612.9
2005-07-01,Indonesia,49,1652.5
2005-07-01,New Zealand,44,1658.3
2005-07-01,Costa Rica,51,1600.7
2005-07-01,Curaçao,45,1637.7
2005-07-01,Honduras,44,1574.1
2005-07-01,DR Congo,51,1611.8
2005-07-01,Kenya,48,1602.2
2005-07-01,Panama,47,1651.3
2005-07-01,Bosnia and Herzegovina,47,1581.7
2005-07-01,Qatar,55,1567.2
2005-07-01,Haiti,49,1542.8
2005-07-01,Cuba,55,1552.7
2005-07-01,Iraq,51,1578.5
2005-07-01,Trinidad and Tobago,53,1543.2
2005-07-01,Uzbekistan,59,1511.3
2005-08-01,France,1,1986.1
2005-08-01,Spain,6,1995.4
2005-08-01,Argentina,1,1997.8
2005-08-01,England,2,1934.7
2005-08-01,Portugal,4,1937.4
2005-08-01,Brazil,3,1941.2
2005-08-01,Netherlands,4,1913.2
2005-08-01,Morocco,5,1890.8
2005-08-01,Belgium,5,1937.4
2005-08-01,Germany,9,1893.0
2005-08-01,Croatia,7,1892.0
2005-08-01,Austria,15,1911.9
2005-08-01,Colombia,14,1885.0
2005-08-01,Senegal,18,1929.7
2005-08-01,Mexico,13,1904.0
2005-08-01,United States,14,1838.5
2005-08-01,Uruguay,21,1796.7
2005-08-01,Japan,22,1782.8
2005-08-01,Switzerland,20,1840.0
2005-08-01,Norway,16,1841.1
2005-08-01,Iran,23,1850.9
2005-08-01,Turkey,26,1779.6
2005-08-01,Ecuador,25,1877.3
2005-08-01,Sweden,28,1749.3
2005-08-01,South Korea,21,1855.9
2005-08-01,Nigeria,22,1802.5
2005-08-01,Australia,24,1756.6
2005-08-01,Ivory Coast,25,1786.1
2005-08-01,Algeria,30,1744.8
2005-08-01,Egypt,28,1793.4
2005-08-01,Canada,26,1691.6
2005-08-01,Tunisia,28,1767.2
2005-08-01,Paraguay,34,1728.6
2005-08-01,Peru,36,1772.3
2005-08-01,Ghana,37,1696.9
2005-08-01,Saudi Arabia,32,1732.0
2005-08-01,Cabo Verde,35,1742.6
2005-08-01,Slovakia,33,1682.6
2005-08-01,Scotland,41,1705.3
2005-08-01,Jordan,35,1729.5
2005-08-01,Czechia,44,1692.8
2005-08-01,South Africa,44,1671.2
2005-08-01,Venezuela,40,1611.6
2005-08-01,Chile,43,1610.5
2005-08-01,Bolivia,43,1675.3
2005-08-01,Indonesia,43,1653.1
2005-08-01,New Zealand,50,1642.9
2005-08-01,Costa Rica,49,1655.7
2005-08-01,Curaçao,51,1642.5
2005-08-01,Honduras,45,1564.9
2005-08-01,DR Congo,44,1619.5
2005-08-01,Kenya,45,1646.9
2005-08-01,Panama,53,1605.9
2005-08-01,Bosnia and Herzegovina,50,1573.8
2005-08-01,Qatar,54,1556.6
2005-08-01,Haiti,50,1585.9
2005-08-01,Cuba,52,1578.5
2005-08-01,Iraq,58,1585.9
2005-08-01,Trinidad and Tobago,58,1548.3
2005-08-01,Uzbekistan,59,1476.2
2005-09-01,France,1,2029.3
2005-09-01,Spain,5,1925.8
2005-09-01,Argentina,1,1977.2
2005-09-01,England,1,1943.9
2005-09-01,Portugal,6,1968.2
2005-09-01,Brazil,5,1953.4
2005-09-01,Netherlands,4,1954.2
2005-09-01,Morocco,11,1925.6
2005-09-01,Belgium,12,1911.8
2005-09-01,Germany,14,1895.2
2005-09-01,Croatia,12,1937.9
2005-09-01,Austria,8,1858.8
2005-09-01,Colombia,17,1964.0
2005-09-01,Senegal,14,1902.1
2005-09-01,Mexico,19,1928.3
2005-09-01,United States,18,1806.8
2005-09-01,Uruguay,16,1839.3
2005-09-01,Japan,16,1866.1
2005-09-01,Switzerland,15,1803.9
2005-09-01,Norway,20,1830.8
2005-09-01,Iran,17,1838.8
2005-09-01,Turkey,20,1863.5
2005-09-01,Ecuador,23,1802.6
2005-09-01,Sweden,28,1748.2
2005-09-01,South Korea,24,1750.6
2005-09-01,Nigeria,27,1792.2
2005-09-01,Australia,27,1823.7
2005-09-01,Ivory Coast,26,1743.2
2005-09-01,Algeria,28,1758.6
2005-09-01,Egypt,26,1816.8
2005-09-01,Canada,32,1723.1
2005-09-01,Tunisia,32,1761.5
2005-09-01,Paraguay,33,1734.6
2005-09-01,Peru,29,1745.2
2005-09-01,Ghana,35,1752.3
2005-09-01,Saudi Arabia,36,1733.3
2005-09-01,Cabo Verde,37,1700.7
2005-09-01,Slovakia,33,1702.3
2005-09-01,Scotland,34,1671.8
2005-09-01,Jordan,43,1652.5
2005-09-01,Czechia,42,1720.3
2005-09-01,South Africa,44,1684.4
2005-09-01,Venezuela,45,1636.2
2005-09-01,Chile,43,1678.6
2005-09-01,Bolivia,45,1645.0
2005-09-01,Indonesia,42,1630.3
2005-09-01,New Zealand,44,1647.3
2005-09-01,Costa Rica,50,1608.2
2005-09-01,Curaçao,51,1627.6
2005-09-01,Honduras,50,1616.3
2005-09-01,DR Congo,45,1614.0
2005-09-01,Kenya,46,1544.7
2005-09-01,Panama,52,1617.8
2005-09-01,Bosnia and Herzegovina,55,1570.0
2005-09-01,Qatar,51,1571.0
2005-09-01,Haiti,53,1619.8
2005-09-01,Cuba,55,1612.9
2005-09-01,Iraq,54,1538.7
2005-09-01,Trinidad and Tobago,56,1548.7
2005-09-01,Uzbekistan,61,1459.2
2005-10-01,France,1,1936.9
2005-10-01,Spain,1,2007.7
2005-10-01,Argentina,2,2009.5
2005-10-01,England,2,1950.9
2005-10-01,Portugal,8,1927.1
2005-10-01,Brazil,3,1963.8
2005-10-01,Netherlands,7,1906.6
2005-10-01,Morocco,12,1981.8
2005-10-01,Belgium,5,1972.1
2005-10-01,Germany,9,1901.0
2005-10-01,Croatia,15,1908.7
2005-10-01,Austria,8,1901.0
2005-10-01,Colombia,13,1905.2
2005-10-01,Senegal,14,1918.8
2005-10-01,Mexico,11,1850.6
2005-10-01,United States,13,1899.1
2005-10-01,Uruguay,15,1859.5
2005-10-01,Japan,20,1817.7
2005-10-01,Switzerland,17,1802.9
2005-10-01,Norway,16,1827.5
2005-10-01,Iran,21,1841.8
2005-10-01,Turkey,22,1835.0
2005-10-01,Ecuador,26,1824.1
2005-10-01,Sweden,24,1785.0
2005-10-01,South Korea,24,1816.2
2005-10-01,Nigeria,25,1817.2
2005-10-01,Australia,27,1812.3
2005-10-01,Ivory Coast,29,1773.7
2005-10-01,Algeria,28,1747.0
2005-10-01,Egypt,33,1762.3
2005-10-01,Canada,30,1758.7
2005-10-01,Tunisia,32,1799.4
2005-10-01,Paraguay,33,1769.2
2005-10-01,Peru,29,1749.4
2005-10-01,Ghana,38,1690.6
2005-10-01,Saudi Arabia,36,1723.0
2005-10-01,Cabo Verde,37,1693.2
2005-10-01,Slovakia,40,1686.7
2005-10-01,Scotland,38,1720.8
2005-10-01,Jordan,35,1664.2
2005-10-01,Czechia,42,1662.8
2005-10-01,South Africa,37,1644.0
2005-10-01,Venezuela,45,1661.6
2005-10-01,Chile,43,1682.9
2005-10-01,Bolivia,47,1653.0
2005-10-01,Indonesia,47,1702.0
2005-10-01,New Zealand,48,1643.1
2005-10-01,Costa Rica,48,1635.0
2005-10-01,Curaçao,49,1626.2
2005-10-01,Honduras,51,1573.4
2005-10-01,DR Congo,49,1674.5
2005-10-01,Kenya,46,1675.2
2005-10-01,Panama,49,1562.4
2005-10-01,Bosnia and Herzegovina,52,1620.2
2005-10-01,Qatar,52,1605.1
2005-10-01,Haiti,55,1585.6
2005-10-01,Cuba,56,1611.0
2005-10-01,Iraq,57,1512.4
2005-10-01,Trinidad and Tobago,51,1554.6
2005-10-01,Uzbekistan,61,1467.2
2005-11-01,France,4,1998.4
2005-11-01,Spain,1,1990.5
2005-11-01,Argentina,3,2035.3
2005-11-01,England,1,1972.6
2005-11-01,Portugal,3,1955.4
2005-11-01,Brazil,8,1911.1
2005-11-01,Netherlands,10,1928.2
2005-11-01,Morocco,4,1981.7
2005-11-01,Belgium,6,1933.2
2005-11-01,Germany,12,1954.7
2005-11-01,Croatia,15,1924.8
2005-11-01,Austria,15,1926.3
2005-11-01,Colombia,14,1955.2
2005-11-01,Senegal,17,1836.0
2005-11-01,Mexico,14,1875.9
2005-11-01,United States,18,1903.0
2005-11-01,Uruguay,14,1823.5
2005-11-01,Japan,14,1857.4
2005-11-01,Switzerland,15,1827.3
2005-11-01,Norway,19,1814.2
2005-11-01,Iran,17,1794.1
2005-11-01,Turkey,19,1835.7
2005-11-01,Ecuador,19,1800.3
2005-11-01,Sweden,21,1841.5
2005-11-01,South Korea,25,1765.4
2005-11-01,Nigeria,30,1783.3
2005-11-01,Australia,31,1813.2
2005-11-01,Ivory Coast,28,1776.5
2005-11-01,Algeria,29,1774.8
2005-11-01,Egypt,25,1784.9
2005-11-01,Canada,30,1796.6
2005-11-01,Tunisia,28,1757.5
2005-11-01,Paraguay,32,1701.1
2005-11-01,Peru,36,1738.8
2005-11-01,Ghana,33,1711.4
2005-11-01,Saudi Arabia,32,1715.9
2005-11-01,Cabo Verde,35,1690.2
2005-11-01,Slovakia,33,1641.7
2005-11-01,Scotland,36,1697.0
2005-11-01,Jordan,42,1692.4
2005-11-01,Czechia,36,1682.4
2005-11-01,South Africa,41,1711.6
2005-11-01,Venezuela,40,1648.6
2005-11-01,Chile,46,1659.3
2005-11-01,Bolivia,48,1623.4
2005-11-01,Indonesia,42,1646.7
2005-11-01,New Zealand,46,1667.6
2005-11-01,Costa Rica,51,1590.1
2005-11-01,Curaçao,51,1679.8
2005-11-01,Honduras,51,1588.0
2005-11-01,DR Congo,48,1611.5
2005-11-01,Kenya,48,1563.0
2005-11-01,Panama,46,1596.6
2005-11-01,Bosnia and Herzegovina,51,1579.1
2005-11-01,Qatar,55,1602.7
2005-11-01,Haiti,53,1553.4
2005-11-01,Cuba,57,1564.8
2005-11-01,Iraq,51,1531.0
2005-11-01,Trinidad and Tobago,58,1541.4
2005-11-01,Uzbekistan,60,1446.4
2005-12-01,France,1,1963.0
2005-12-01,Spain,5,2026.8
2005-12-01,Argentina,4,1978.3
2005-12-01,England,7,1948.1
2005-12-01,Portugal,9,1969.0
2005-12-01,Brazil,7,1962.1
2005-12-01,Netherlands,6,1974.1
2005-12-01,Morocco,9,1920.1
2005-12-01,Belgium,12,1941.5
2005-12-01,Germany,11,1892.1
2005-12-01,Croatia,10,1888.4
2005-12-01,Austria,14,1897.3
2005-12-01,Colombia,12,1891.7
2005-12-01,Senegal,18,1854.5
2005-12-01,Mexico,15,1924.0
2005-12-01,United States,18,1883.3
2005-12-01,Uruguay,18,1882.7
2005-12-01,Japan,17,1909.8
2005-12-01,Switzerland,15,1835.6
2005-12-01,Norway,18,1884.9
2005-12-01,Iran,22,1815.5
2005-12-01,Turkey,22,1851.8
2005-12-01,Ecuador,24,1834.6
2005-12-01,Sweden,25,1783.9
2005-12-01,South Korea,29,1793.1
2005-12-01,Nigeria,29,1779.8
2005-12-01,Australia,29,1811.1
2005-12-01,Ivory Coast,27,1756.4
2005-12-01,Algeria,32,1787.3
2005-12-01,Egypt,27,1706.0
2005-12-01,Canada,27,1703.6
2005-12-01,Tunisia,29,1721.1
2005-12-01,Paraguay,29,1757.6
2005-12-01,Peru,32,1759.6
2005-12-01,Ghana,32,1703.2
2005-12-01,Saudi Arabia,33,1701.1
2005-12-01,Cabo Verde,34,1733.0
2005-12-01,Slovakia,35,1721.1
2005-12-01,Scotland,38,1697.8
2005-12-01,Jordan,40,1685.1
2005-12-01,Czechia,37,1635.4
2005-12-01,South Africa,39,1657.3
2005-12-01,Venezuela,40,1655.2
2005-12-01,Chile,42,1645.9
2005-12-01,Bolivia,45,1633.2
2005-12-01,Indonesia,44,1631.4
2005-12-01,New Zealand,48,1635.7
2005-12-01,Costa Rica,43,1643.8
2005-12-01,Curaçao,51,1647.0
2005-12-01,Honduras,49,1626.5
2005-12-01,DR Congo,48,1642.7
2005-12-01,Kenya,50,1616.7
2005-12-01,Panama,52,1591.7
2005-12-01,Bosnia and Herzegovina,49,1621.1
2005-12-01,Qatar,52,1528.5
2005-12-01,Haiti,56,1579.6
2005-12-01,Cuba,56,1574.3
2005-12-01,Iraq,56,1541.5
2005-12-01,Trinidad and Tobago,51,1558.5
2005-12-01,Uzbekistan,60,1544.0
2006-01-01,France,1,2027.3
2006-01-01,Spain,1,1902.9
2006-01-01,Argentina,3,1991.8
2006-01-01,England,5,1963.1
2006-01-01,Portugal,4,1984.7
2006-01-01,Brazil,3,1966.8
2006-01-01,Netherlands,11,1980.9
2006-01-01,Morocco,12,1905.8
2006-01-01,Belgium,7,1880.8
2006-01-01,Germany,9,1936.3
2006-01-01,Croatia,15,1900.2
2006-01-01,Austria,10,1871.0
2006-01-01,Colombia,11,1844.0
2006-01-01,Senegal,15,1973.8
2006-01-01,Mexico,18,1921.3
2006-01-01,United States,18,1893.2
2006-01-01,Uruguay,17,1842.7
2006-01-01,Japan,22,1884.9
2006-01-01,Switzerland,19,1878.8
2006-01-01,Norway,20,1836.8
2006-01-01,Iran,23,1845.6
2006-01-01,Turkey,18,1800.9
2006-01-01,Ecuador,19,1825.3
2006-01-01,Sweden,27,1791.6
2006-01-01,South Korea,24,1776.4
2006-01-01,Nigeria,22,1769.2
