Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,PSH,PSD,PSA
2006-09-10 22:25:06.766872975,Honduras,Bolivia,1,3,2.53,4.08,3.29,2.49,4.01,3.26
2006-09-12 06:56:44.442063034,New Zealand,Paraguay,0,1,4.79,4.08,2.04,4.77,4.17,2.09
2006-09-12 08:02:28.084504378,Slovakia,Spain,2,1,14.72,4.08,1.59,14.74,4.11,1.62
2006-09-12 16:02:00.197242925,Slovakia,Nigeria,0,0,2.57,4.08,3.23,2.5,4.01,3.17
2006-09-12 23:55:07.858132280,Saudi Arabia,Kenya,0,1,1.37,4.08,21.2,1.37,4.04,21.05
2006-09-14 03:34:04.097299444,Uzbekistan,Scotland,1,0,1.96,4.08,5.31,1.99,3.99,5.44
2006-09-14 14:13:04.124914133,Austria,Brazil,1,2,3.55,4.08,2.4,3.45,4.2,2.46
2006-09-14 23:04:34.538947962,Portugal,Tunisia,4,0,1.18,4.08,21.2,1.19,4.03,21.28
2006-11-26 10:12:09.859047922,Peru,Japan,1,2,4.69,4.08,2.06,4.65,4.04,2.11
2006-11-29 03:01:42.682946056,Brazil,Netherlands,1,1,1.95,4.08,5.36,1.94,3.98,5.23
2006-11-29 16:49:39.707293349,Japan,Belgium,0,1,3.75,4.08,2.32,3.72,4.17,2.37
2006-11-30 10:57:17.736510010,Costa Rica,Chile,2,2,2.47,4.08,3.4,2.52,4.16,3.42
2006-12-01 05:29:59.978284866,Canada,Curaçao,1,2,1.2,4.08,21.2,1.17,4.18,21.43
2006-12-02 11:20:34.988754337,Egypt,Argentina,1,1,8.67,4.08,1.72,8.63,3.98,1.7
2006-12-03 18:51:43.307620767,Ghana,DR Congo,2,2,1.43,4.08,21.2,1.46,4.17,20.72
2006-12-05 08:03:21.282166234,South Africa,Morocco,1,3,6.54,4.08,1.83,6.43,4.03,1.86
2007-02-20 10:47:33.154012859,Cabo Verde,DR Congo,2,2,2.14,4.08,4.35,2.1,4.02,4.3
2007-02-21 01:24:37.062378334,Honduras,Iran,1,1,7.01,4.08,1.8,7.18,4.04,1.76
2007-02-21 09:55:53.904330663,New Zealand,Peru,0,0,4.41,4.08,2.12,4.45,4.02,2.16
2007-02-22 17:43:42.122218124,Bosnia and Herzegovina,Norway,2,4,16.56,4.08,1.57,16.73,4.13,1.56
2007-02-23 01:15:26.131085476,Spain,Germany,1,1,1.94,4.08,5.49,1.99,4.01,5.5
2007-02-23 05:35:06.976134000,Ghana,United States,1,2,3.68,4.08,2.35,3.79,4.06,2.32
2007-02-23 18:01:56.376544405,Chile,Czechia,4,1,2.85,4.08,2.88,2.83,4.17,2.83
2007-02-24 02:57:43.311507150,Argentina,Canada,0,1,1.17,4.08,21.2,1.19,4.12,20.63
2007-05-11 13:14:07.834370385,Costa Rica,Iraq,1,1,4.07,4.08,2.21,4.13,4.09,2.15
2007-05-11 16:14:10.173936311,Czechia,Mexico,1,4,7.73,4.08,1.76,7.63,4.03,1.74
2007-05-12 15:36:59.216469674,South Africa,Brazil,2,3,10.83,4.08,1.65,10.59,4.19,1.61
2007-05-13 17:06:32.671562398,Qatar,Scotland,2,2,4.46,4.08,2.11,4.33,4.16,2.17
2007-05-14 06:32:02.306523560,Mexico,Panama,2,0,1.1,4.08,21.2,1.09,4.0,21.79
2007-05-14 23:16:05.182659740,Colombia,Netherlands,1,1,3.13,4.08,2.64,3.13,4.07,2.65
2007-05-15 18:55:57.945583829,Chile,Argentina,0,3,21.2,4.08,1.49,21.61,4.01,1.5
2007-05-16 07:31:00.447710712,Scotland,New Zealand,1,0,1.66,4.08,10.58,1.67,4.11,10.69
2007-08-01 20:52:58.072031427,Bosnia and Herzegovina,Nigeria,1,4,7.45,4.08,1.77,7.28,4.01,1.76
2007-08-02 08:14:52.775309341,Austria,Bosnia and Herzegovina,1,1,1.13,4.08,21.2,1.16,4.13,21.39
2007-08-03 19:54:06.066757975,Bolivia,Paraguay,1,1,4.34,4.08,2.14,4.24,4.07,2.09
2007-08-04 07:05:35.650187699,Nigeria,Peru,0,0,1.59,4.08,14.43,1.59,4.05,14.15
2007-08-05 09:29:22.617608247,Switzerland,South Korea,2,0,2.18,4.08,4.18,2.13,4.11,4.15
2007-08-06 00:46:23.006434512,Australia,Austria,3,1,3.08,4.08,2.68,3.1,4.01,2.71
2007-08-07 01:32:58.660478607,Croatia,Tunisia,5,1,1.32,4.08,21.2,1.35,4.01,20.83
2007-08-07 18:58:11.977927808,Austria,France,1,5,6.01,4.08,1.88,5.91,4.13,1.88
2007-10-22 09:10:11.513749500,Senegal,Belgium,3,2,3.82,4.08,2.29,3.92,3.96,2.27
2007-10-22 20:03:13.938522445,Netherlands,Cabo Verde,2,0,1.16,4.08,21.2,1.14,3.97,21.68
2007-10-26 00:48:43.809452710,France,Panama,3,0,1.07,4.08,21.2,1.09,4.04,21.15
2007-10-27 00:53:47.793007300,United States,Spain,1,3,5.14,4.08,1.99,5.19,4.02,1.99
2007-10-27 22:41:03.011608295,Panama,Spain,1,4,21.2,4.08,1.49,21.21,4.15,1.48
2007-10-28 19:24:38.345915910,Czechia,Slovakia,1,2,2.32,4.08,3.74,2.36,4.01,3.76
2007-10-31 06:45:23.475053058,Portugal,South Korea,3,2,1.46,4.08,21.2,1.43,4.08,21.7
2007-10-31 17:29:26.158420722,Switzerland,Mexico,0,3,2.73,4.08,3.01,2.7,4.08,2.98
2008-01-10 21:00:55.885639916,Panama,Colombia,0,2,21.14,4.08,1.54,21.73,4.04,1.52
2008-01-11 23:03:26.266347532,Netherlands,Jordan,2,2,1.13,4.08,21.2,1.14,4.0,20.65
2008-01-12 23:23:40.535709913,Austria,Uzbekistan,3,0,1.48,4.08,21.2,1.47,3.98,21.6
2008-01-15 15:14:58.671295203,Paraguay,Argentina,0,1,14.92,4.08,1.58,15.23,4.1,1.55
2008-01-16 13:29:45.202986529,Indonesia,Honduras,1,1,1.96,4.08,5.32,1.96,4.15,5.32
2008-01-16 22:58:17.813351579,Uzbekistan,South Korea,1,1,3.18,4.08,2.61,3.22,4.12,2.56
2008-01-17 03:45:44.512070904,Cuba,Egypt,1,0,7.58,4.08,1.77,7.4,4.11,1.78
2008-01-17 09:10:29.225766506,Saudi Arabia,Cabo Verde,1,0,1.48,4.08,21.2,1.47,3.97,21.62
2008-04-04 10:53:43.592604017,Chile,Ivory Coast,3,2,2.57,4.08,3.23,2.62,4.07,3.22
2008-04-05 02:11:27.572558256,Austria,Ivory Coast,1,0,1.27,4.08,21.2,1.26,3.98,20.95
2008-04-05 13:22:58.225882482,Japan,Ivory Coast,1,2,1.34,4.08,21.2,1.3,3.97,20.76
2008-04-06 05:00:54.173330885,Mexico,Trinidad and Tobago,3,0,1.1,4.08,21.2,1.11,4.09,21.66
2008-04-06 14:43:11.311203666,Algeria,Turkey,1,1,4.65,4.08,2.07,4.64,4.17,2.09
2008-04-06 20:46:08.102088154,Bosnia and Herzegovina,Iran,2,1,7.89,4.08,1.75,7.74,3.97,1.73
2008-04-07 13:56:25.944438063,Bolivia,Iraq,1,4,2.45,4.08,3.45,2.46,4.16,3.53
2008-04-07 15:26:34.655135598,Canada,Germany,2,1,5.54,4.08,1.93,5.42,3.96,1.98
2008-06-14 02:01:56.059843327,Austria,Egypt,2,0,1.4,4.08,21.2,1.41,4.02,21.76
2008-06-14 11:29:24.596277713,Uzbekistan,Canada,1,2,2.04,4.08,4.8,2.05,4.2,4.85
2008-06-15 00:24:03.943587623,Curaçao,Nigeria,1,1,15.05,4.08,1.58,14.7,4.14,1.57
2008-06-16 10:54:34.760422033,Germany,Bosnia and Herzegovina,4,0,1.1,4.08,21.2,1.09,4.0,21.0
2008-06-16 16:50:41.405989191,Brazil,Cabo Verde,3,0,1.15,4.08,21.2,1.17,4.0,20.69
2008-06-19 19:08:59.706363938,Qatar,France,0,1,21.2,4.08,1.45,21.64,4.01,1.44
2008-06-20 17:11:43.376266292,Switzerland,South Africa,1,2,1.3,4.08,21.2,1.33,4.14,21.17
2008-06-21 00:54:08.716022628,Bolivia,Ecuador,0,4,5.56,4.08,1.93,5.52,3.97,1.93
2008-09-03 01:14:36.534439265,Brazil,Cuba,1,0,1.08,4.08,21.2,1.07,3.97,20.64
2008-09-03 04:45:34.204464994,Peru,Bolivia,4,1,1.31,4.08,21.2,1.28,4.02,21.48
2008-09-03 05:22:46.826539653,Portugal,Cuba,5,0,1.08,4.08,21.2,1.1,4.17,21.78
2008-09-03 06:32:57.364793095,Haiti,Ivory Coast,0,2,15.77,4.08,1.58,15.88,4.15,1.59
2008-09-05 05:42:59.331913501,Ghana,New Zealand,1,2,1.5,4.08,21.2,1.47,4.04,20.91
2008-09-05 20:14:04.419096549,England,Switzerland,3,1,1.38,4.08,21.2,1.41,4.12,20.69
2008-09-07 13:19:37.170991203,Iraq,Costa Rica,2,0,1.36,4.08,21.2,1.37,4.13,21.57
2008-09-07 17:17:39.065885727,South Africa,Switzerland,1,3,15.97,4.08,1.57,15.56,4.13,1.52
2008-11-20 22:31:01.208316647,Czechia,Kenya,2,1,1.6,4.08,13.87,1.6,4.14,13.69
2008-11-23 23:47:06.983035381,Morocco,South Korea,1,2,1.5,4.08,21.2,1.53,4.18,20.64
2008-11-24 04:29:27.983535221,Iran,Uruguay,1,4,4.44,4.08,2.11,4.53,4.1,2.08
2008-11-24 14:57:33.061875781,Honduras,Croatia,1,2,16.81,4.08,1.57,16.52,4.08,1.6
2008-11-25 01:46:04.795735931,South Korea,Nigeria,3,0,1.72,4.08,8.45,1.72,3.96,8.54
2008-11-25 11:10:03.215458262,France,England,4,0,1.79,4.08,7.22,1.8,3.99,7.12
2008-11-25 18:19:36.027449275,Ivory Coast,Austria,1,2,6.93,4.08,1.81,6.98,4.06,1.77
2008-11-26 21:35:14.479167451,Cabo Verde,Croatia,0,2,14.16,4.08,1.59,14.44,4.1,1.57
2009-01-30 20:50:34.303125100,Peru,Japan,1,1,4.86,4.08,2.03,4.89,4.09,1.98
2009-02-01 10:56:43.095711629,England,Indonesia,1,0,1.12,4.08,21.2,1.11,4.1,20.6
2009-02-01 18:45:45.178557569,Portugal,United States,3,2,1.67,4.08,10.11,1.7,4.08,10.35
2009-02-02 13:35:11.285565531,Uruguay,Senegal,0,0,2.31,4.08,3.76,2.26,3.98,3.7
2009-02-02 14:42:58.662674491,Bosnia and Herzegovina,Bolivia,0,2,4.47,4.08,2.11,4.52,4.14,2.09
2009-02-05 14:13:30.471880071,Sweden,Switzerland,0,2,1.93,4.08,5.59,1.94,4.04,5.43
2009-02-06 00:15:01.986088939,Norway,Honduras,1,3,1.11,4.08,21.2,1.08,4.2,20.7
2009-02-06 18:52:42.581460684,Colombia,Cabo Verde,1,0,1.17,4.08,21.2,1.2,4.05,21.75
2009-05-03 23:37:32.573982962,South Africa,Trinidad and Tobago,0,0,1.41,4.08,21.2,1.41,3.97,21.37
2009-05-04 00:07:08.237663419,France,Ecuador,1,1,1.28,4.08,21.2,1.29,3.99,21.59
2009-05-04 02:27:49.685252636,Slovakia,Jordan,0,0,1.75,4.08,7.87,1.71,3.96,8.04
2009-05-04 16:58:19.797337309,Sweden,Belgium,1,1,3.28,4.08,2.54,3.38,4.18,2.48
2009-05-05 06:48:11.507011811,Venezuela,Bosnia and Herzegovina,3,2,1.36,4.08,21.2,1.35,4.19,21.83
2009-05-05 15:39:29.625281093,Kenya,Japan,0,0,13.36,4.08,1.6,13.55,4.08,1.59
2009-05-06 13:27:13.524224295,Germany,Morocco,0,1,2.17,4.08,4.23,2.17,4.09,4.31
2009-05-06 17:18:40.182479937,Iran,Cuba,3,0,1.13,4.08,21.2,1.14,3.99,20.93
2009-07-16 17:48:56.105342188,Austria,Egypt,3,0,1.61,4.08,13.22,1.63,4.05,13.42
2009-07-19 19:13:40.895375661,Nigeria,Panama,2,2,1.24,4.08,21.2,1.21,4.11,21.69
2009-07-21 20:37:18.735710359,Trinidad and Tobago,Saudi Arabia,0,0,8.59,4.08,1.72,8.41,4.07,1.7
2009-07-21 21:24:41.660921302,Australia,Uruguay,1,1,2.73,4.08,3.02,2.66,4.17,3.02
2009-07-23 19:26:49.115539359,Croatia,Scotland,0,0,1.17,4.08,21.2,1.19,3.97,21.13
2009-07-24 00:04:37.965341675,Croatia,Curaçao,3,0,1.11,4.08,21.2,1.12,4.01,20.83
2009-07-24 04:24:09.496625047,England,Sweden,3,1,1.21,4.08,21.2,1.19,4.01,21.67
2009-07-25 04:14:51.536547211,Australia,Honduras,1,0,1.16,4.08,21.2,1.19,4.19,20.81
2009-10-13 21:49:45.999027229,Belgium,Uzbekistan,2,3,1.37,4.08,21.2,1.35,4.06,20.8
2009-10-14 22:53:23.924214342,Peru,Haiti,4,0,1.28,4.08,21.2,1.26,4.06,21.54
2009-10-15 14:41:00.093379878,Belgium,Colombia,1,2,1.77,4.08,7.53,1.75,4.09,7.64
2009-10-17 03:49:01.293495281,New Zealand,Ivory Coast,1,1,4.87,4.08,2.03,4.97,4.15,2.0
2009-10-17 11:11:14.390577057,Switzerland,Costa Rica,2,0,1.15,4.08,21.2,1.16,3.99,20.75
2009-10-17 11:28:36.641426271,Spain,Germany,3,0,1.81,4.08,6.92,1.76,4.2,6.81
2009-10-17 15:53:41.166762052,Sweden,Iran,0,1,1.76,4.08,7.63,1.8,4.1,7.8
2009-10-17 19:02:30.056680156,England,Qatar,5,0,1.09,4.08,21.2,1.11,3.98,21.32
2009-12-31 22:54:07.752277334,Czechia,Ghana,2,1,3.49,4.08,2.43,3.58,4.04,2.43
2010-01-02 00:14:11.378622077,Bolivia,Saudi Arabia,0,4,2.68,4.08,3.08,2.6,3.98,3.15
2010-01-03 23:07:34.682980290,Sweden,Ecuador,3,2,1.6,4.08,13.33,1.57,3.97,13.38
2010-01-04 19:26:11.469317875,Uzbekistan,South Africa,0,2,1.37,4.08,21.2,1.38,4.03,21.21
2010-01-05 13:16:04.851749349,New Zealand,Tunisia,0,2,5.46,4.08,1.94,5.38,3.99,1.96
2010-01-05 14:14:45.881077134,Croatia,Jordan,0,1,1.16,4.08,21.2,1.17,4.15,20.9
2010-01-06 07:20:46.194634710,Portugal,Slovakia,2,2,1.13,4.08,21.2,1.15,4.08,21.58
2010-01-07 11:14:46.194925969,Sweden,United States,0,0,2.41,4.08,3.54,2.4,4.19,3.46
2010-03-18 09:52:48.712936544,Indonesia,Iraq,0,0,2.05,4.08,4.76,2.07,4.19,4.79
2010-03-18 13:43:38.901666488,Bolivia,Colombia,0,3,10.18,4.08,1.67,10.24,3.97,1.71
2010-03-19 13:52:22.254817153,Bolivia,Haiti,1,0,1.34,4.08,21.2,1.32,3.99,20.91
2010-03-19 14:10:19.721328020,Belgium,Algeria,3,0,1.12,4.08,21.2,1.15,4.0,20.79
2010-03-19 19:22:42.008051035,Sweden,New Zealand,1,0,1.25,4.08,21.2,1.22,3.97,20.79
2010-03-20 03:37:26.911091845,Honduras,South Africa,0,2,2.7,4.08,3.05,2.76,3.96,3.01
2010-03-20 05:43:27.294320819,DR Congo,Ivory Coast,1,3,4.19,4.08,2.18,4.19,4.01,2.19
2010-03-20 19:17:15.145288547,Indonesia,Venezuela,0,4,3.45,4.08,2.45,3.35,4.07,2.41
2010-06-02 05:41:33.360515144,Canada,Croatia,0,1,5.98,4.08,1.88,6.14,4.13,1.89
2010-06-04 04:43:34.726597612,Indonesia,Costa Rica,1,2,1.95,4.08,5.38,1.93,4.04,5.48
2010-06-05 14:44:08.486563423,Czechia,Germany,1,0,13.35,4.08,1.6,12.97,4.07,1.61
2010-06-05 20:34:51.331799699,New Zealand,Qatar,0,2,1.85,4.08,6.39,1.9,3.98,6.36
2010-06-07 09:53:25.432339194,Iraq,Czechia,1,1,2.25,4.08,3.93,2.31,3.99,3.92
2010-06-07 19:19:08.612198669,Spain,Curaçao,4,1,1.08,4.08,21.2,1.09,4.0,21.49
2010-06-08 06:32:13.159130444,Chile,Uzbekistan,0,2,3.09,4.08,2.67,3.02,4.1,2.67
2010-06-08 20:50:42.837096015,Morocco,Croatia,3,3,1.88,4.08,6.06,1.9,4.17,5.9
2010-09-01 14:26:13.410697842,Tunisia,Algeria,1,3,1.6,4.08,13.37,1.62,4.05,13.32
2010-09-03 01:55:21.214465513,DR Congo,Spain,0,4,21.2,4.08,1.47,20.6,4.06,1.46
2010-09-04 06:12:16.457690730,United States,Cabo Verde,2,0,1.32,4.08,21.2,1.32,4.1,21.12
2010-09-05 12:13:19.477333153,Japan,Austria,1,0,1.59,4.08,14.13,1.6,3.98,13.76
2010-09-07 04:28:58.950807493,Chile,Canada,0,4,3.75,4.08,2.32,3.69,4.11,2.29
2010-09-09 04:17:44.251387635,DR Congo,Jordan,0,1,2.16,4.08,4.26,2.17,4.2,4.15
2010-09-09 07:26:41.063537991,Trinidad and Tobago,Scotland,0,1,11.42,4.08,1.64,11.49,3.97,1.62
2010-09-09 18:50:55.903742806,Kenya,Belgium,1,1,21.2,4.08,1.53,21.37,4.11,1.55
2010-11-16 22:10:36.827286843,Morocco,Tunisia,2,0,1.27,4.08,21.2,1.26,4.02,21.57
2010-11-17 00:39:11.037710422,Mexico,Honduras,1,3,1.14,4.08,21.2,1.14,3.98,21.36
2010-11-17 01:27:38.109199356,Australia,South Korea,1,3,2.44,4.08,3.47,2.47,4.11,3.47
2010-11-17 03:02:37.188690405,United States,Kenya,1,1,1.12,4.08,21.2,1.15,4.16,21.71
2010-11-18 08:50:17.555141129,Iran,Spain,1,0,6.47,4.08,1.84,6.48,3.99,1.84
2010-11-18 18:52:09.301587207,Haiti,Paraguay,1,2,8.39,4.08,1.73,8.59,4.13,1.78
2010-11-18 21:27:08.490169630,Haiti,Canada,0,0,11.0,4.08,1.65,11.26,4.19,1.6
2010-11-19 02:30:22.259990326,Honduras,Iran,0,0,5.83,4.08,1.9,5.66,4.11,1.86
2011-01-26 22:56:10.883129344,Uzbekistan,Spain,0,7,13.66,4.08,1.6,13.61,4.18,1.62
2011-01-27 00:41:31.467884793,Panama,Colombia,0,0,10.63,4.08,1.66,10.47,4.07,1.7
2011-01-27 04:13:51.646326237,New Zealand,Bolivia,0,1,2.25,4.08,3.94,2.27,4.07,3.83
2011-01-28 05:18:11.640019474,Haiti,South Africa,1,0,3.78,4.08,2.31,3.78,4.14,2.26
2011-01-30 14:45:31.973571542,Cabo Verde,Kenya,3,1,1.46,4.08,21.2,1.47,4.12,21.59
2011-01-31 15:36:35.588375707,Slovakia,Honduras,0,0,1.4,4.08,21.2,1.4,4.19,21.48
2011-02-03 07:49:20.937538302,South Korea,Venezuela,1,1,1.26,4.08,21.2,1.26,4.05,20.8
2011-02-04 01:17:24.134824986,Venezuela,Croatia,1,4,11.83,4.08,1.63,12.18,4.15,1.6
2011-04-08 18:05:45.453878538,Czechia,Spain,1,2,10.22,4.08,1.67,9.94,3.99,1.65
2011-04-08 18:20:28.682752841,Tunisia,Iran,0,0,3.24,4.08,2.57,3.29,4.03,2.52
2011-04-10 22:49:03.308310606,Germany,Slovakia,4,0,1.2,4.08,21.2,1.23,4.13,20.98
2011-04-11 01:42:54.856620917,Australia,Panama,2,0,1.18,4.08,21.2,1.17,4.02,20.78
2011-04-11 17:56:07.595778870,Bosnia and Herzegovina,South Korea,3,2,16.23,4.08,1.57,16.22,4.03,1.55
2011-04-11 21:12:50.452333838,United States,Slovakia,3,0,1.29,4.08,21.2,1.29,4.13,21.05
2011-04-12 03:58:31.594541708,Croatia,Colombia,3,1,1.49,4.08,21.2,1.5,4.04,21.79
2011-04-12 04:32:01.466438185,Bolivia,Germany,0,2,19.44,4.08,1.55,19.12,4.07,1.56
2011-06-20 11:18:37.870191210,Austria,Iraq,1,1,1.29,4.08,21.2,1.27,4.07,21.82
2011-06-21 17:46:44.361787164,France,Algeria,3,1,1.1,4.08,21.2,1.1,4.12,21.46
2011-06-21 18:46:42.106627868,United States,Switzerland,1,4,1.98,4.08,5.18,2.0,4.19,5.07
2011-06-21 20:25:45.370967253,Belgium,Iran,2,1,1.27,4.08,21.2,1.28,4.03,21.43
2011-06-24 04:55:06.359225311,Japan,United States,1,1,1.92,4.08,5.61,1.93,4.07,5.66
2011-06-24 13:25:44.281825830,Egypt,France,0,1,12.14,4.08,1.62,12.11,4.12,1.59
2011-06-25 02:01:33.328938338,Portugal,Indonesia,2,1,1.11,4.08,21.2,1.08,3.99,21.17
2011-06-25 15:35:58.210823894,France,Senegal,2,0,1.25,4.08,21.2,1.22,4.03,21.67
2011-09-17 10:23:50.485042314,Germany,Belgium,1,3,2.04,4.08,4.81,2.1,4.2,4.76
2011-09-17 16:31:10.118958476,DR Congo,Spain,0,3,21.2,4.08,1.51,20.82,4.19,1.54
2011-09-18 07:49:25.807185315,Slovakia,Ivory Coast,1,2,2.63,4.08,3.14,2.59,4.09,3.07
2011-09-18 07:55:58.702975765,Norway,Costa Rica,1,0,1.13,4.08,21.2,1.15,4.17,21.15
2011-09-18 16:10:42.097783178,Venezuela,Argentina,0,1,21.2,4.08,1.48,21.58,4.02,1.52
2011-09-19 18:50:19.072150439,Bolivia,Nigeria,1,1,3.13,4.08,2.64,3.06,4.15,2.56
2011-09-20 04:53:57.170900278,Venezuela,Slovakia,0,0,4.52,4.08,2.1,4.43,4.01,2.12
2011-09-21 11:49:20.757484589,Honduras,Iraq,1,2,4.37,4.08,2.13,4.24,4.19,2.12
2011-12-03 08:56:31.323181261,Ivory Coast,Croatia,3,3,5.5,4.08,1.94,5.59,4.14,1.99
2011-12-03 11:48:16.771894872,England,Belgium,0,0,1.59,4.08,14.71,1.64,4.13,15.1
2011-12-03 17:05:16.068152358,Indonesia,Austria,2,2,6.22,4.08,1.86,6.24,4.02,1.84
2011-12-05 18:08:28.351104837,Trinidad and Tobago,Slovakia,0,1,7.06,4.08,1.8,7.07,4.15,1.79
2011-12-06 04:25:31.694768389,Cuba,Algeria,1,1,4.12,4.08,2.2,4.23,4.11,2.23
2011-12-06 10:11:05.883943421,Curaçao,England,4,2,21.2,4.08,1.46,20.82,4.01,1.48
2011-12-06 20:44:27.269843396,Netherlands,Qatar,3,0,1.08,4.08,21.2,1.06,4.09,21.68
2011-12-08 20:06:31.763702638,Jordan,Austria,1,3,9.32,4.08,1.69,9.17,4.12,1.73
2012-02-27 17:05:06.166420314,Chile,Scotland,2,3,2.85,4.08,2.88,2.9,4.19,2.96
2012-02-27 19:51:52.283567647,Iraq,Chile,3,1,1.47,4.08,21.2,1.46,4.07,21.18
2012-03-01 15:02:08.139942548,France,Saudi Arabia,2,1,1.14,4.08,21.2,1.16,3.98,21.41
2012-03-02 01:28:08.433303346,Trinidad and Tobago,France,1,0,21.2,4.08,1.44,20.95,4.13,1.48
2012-03-02 22:31:50.790919866,Chile,Paraguay,0,0,3.04,4.08,2.71,2.97,4.02,2.64
2012-03-04 07:48:37.019486130,Curaçao,France,1,2,21.2,4.08,1.47,21.17,4.07,1.44
2012-03-05 04:07:23.300316569,Uzbekistan,Austria,0,3,2.91,4.08,2.82,2.93,4.15,2.87
2012-03-05 08:02:41.759611861,Argentina,Canada,2,1,1.12,4.08,21.2,1.09,4.14,21.45
2012-05-20 21:59:11.401149280,Panama,South Africa,0,1,3.18,4.08,2.6,3.17,4.04,2.61
2012-05-22 07:05:04.189287866,Egypt,Nigeria,3,1,1.86,4.08,6.19,1.81,4.2,6.22
2012-05-22 17:43:58.425540438,Bolivia,Canada,0,1,4.65,4.08,2.07,4.69,3.96,2.1
2012-05-24 01:38:37.456307628,Spain,Kenya,1,0,1.09,4.08,21.2,1.07,4.18,20.8
2012-05-25 04:56:35.362293290,Australia,United States,1,3,2.75,4.08,2.98,2.83,4.16,2.92
2012-05-26 13:24:51.373492075,England,France,1,3,2.49,4.08,3.37,2.51,4.19,3.46
2012-05-26 17:49:46.421197405,Chile,DR Congo,2,0,2.03,4.08,4.85,1.99,4.18,4.78
2012-05-27 09:05:36.777271574,Saudi Arabia,Uruguay,1,0,8.04,4.08,1.74,8.24,4.06,1.75
2012-08-17 03:15:54.598768847,Uruguay,Morocco,0,3,2.35,4.08,3.66,2.3,4.11,3.65
2012-08-19 18:23:37.632112393,Ecuador,Iran,0,2,1.35,4.08,21.2,1.31,4.05,20.97
2012-08-20 11:39:23.601316365,Colombia,United States,3,0,1.77,4.08,7.55,1.75,4.03,7.33
2012-08-21 13:25:23.881030394,Chile,Jordan,1,1,2.64,4.08,3.13,2.66,4.03,3.14
2012-08-21 14:23:58.625579674,Mexico,Slovakia,2,1,1.35,4.08,21.2,1.34,4.16,20.98
2012-08-21 17:44:59.623005296,Spain,Algeria,4,0,1.12,4.08,21.2,1.1,4.03,21.82
2012-08-21 21:07:07.689428700,Iraq,Senegal,2,2,4.16,4.08,2.18,4.12,4.07,2.24
2012-08-21 21:59:35.743051957,Australia,Ivory Coast,1,0,1.51,4.08,21.2,1.55,4.0,20.84
2012-11-04 17:35:02.451004343,Turkey,Austria,0,1,2.77,4.08,2.96,2.82,4.19,3.02
2012-11-05 08:51:28.108464761,Cabo Verde,Tunisia,0,1,4.61,4.08,2.08,4.48,4.0,2.11
2012-11-05 12:46:18.924370951,Algeria,Spain,1,4,21.2,4.08,1.5,21.3,3.99,1.5
2012-11-06 11:46:48.628310699,Senegal,Curaçao,3,2,1.11,4.08,21.2,1.12,4.12,20.78
2012-11-07 00:15:34.022424745,Germany,Iraq,2,0,1.15,4.08,21.2,1.13,4.02,21.43
2012-11-07 13:04:11.497909321,Indonesia,Austria,1,2,7.44,4.08,1.77,7.47,4.02,1.81
2012-11-09 17:22:10.000825440,Algeria,Chile,2,2,2.3,4.08,3.81,2.34,4.11,3.81
2012-11-12 01:57:59.690314976,Tunisia,Mexico,0,4,4.95,4.08,2.02,4.86,4.04,1.99
2013-01-16 03:23:00.510366693,Colombia,Peru,0,1,1.27,4.08,21.2,1.25,3.97,20.85
2013-01-16 07:03:51.531427717,Sweden,Bolivia,1,1,1.27,4.08,21.2,1.26,4.14,21.64
2013-01-17 03:19:28.470346261,France,Netherlands,2,2,1.57,4.08,16.54,1.58,4.03,16.86
2013-01-20 06:04:15.819553198,Ivory Coast,New Zealand,1,1,1.42,4.08,21.2,1.42,4.08,21.7
2013-01-21 15:08:42.766450379,Egypt,United States,2,3,3.49,4.08,2.43,3.51,4.07,2.43
2013-01-22 21:55:51.241675422,Iraq,Argentina,0,0,17.95,4.08,1.56,17.62,4.05,1.59
2013-01-25 10:37:43.817962266,Saudi Arabia,Kenya,3,1,1.4,4.08,21.2,1.36,3.98,21.64
2013-01-27 07:12:34.695253559,Haiti,Qatar,1,1,2.18,4.08,4.18,2.16,4.05,4.27
2013-03-26 02:24:41.227871225,Ecuador,Japan,0,3,4.84,4.08,2.04,4.98,4.1,2.07
2013-03-26 16:42:44.687349705,Haiti,DR Congo,0,3,4.11,4.08,2.2,4.18,4.16,2.25
2013-03-27 00:27:12.194051879,Costa Rica,Bolivia,1,0,3.13,4.08,2.64,3.09,4.17,2.66
2013-03-27 20:31:10.527124314,Indonesia,Mexico,0,3,12.99,4.08,1.61,12.78,3.96,1.57
2013-03-28 04:47:34.603308292,Australia,Bolivia,0,1,1.52,4.08,21.2,1.51,4.0,20.81
2013-03-28 10:50:02.291028431,United States,Qatar,1,0,1.11,4.08,21.2,1.13,4.08,21.77
2013-03-28 14:05:36.719528873,DR Congo,Bosnia and Herzegovina,0,0,1.58,4.08,15.0,1.61,3.97,15.43
2013-03-29 01:08:34.884045347,Indonesia,Bolivia,2,2,2.22,4.08,4.05,2.18,4.08,4.1
2013-06-11 15:40:51.825548156,Bolivia,Uruguay,2,2,21.13,4.08,1.54,21.1,4.16,1.58
2013-06-15 05:30:54.785762754,Morocco,Slovakia,3,2,1.3,4.08,21.2,1.3,3.99,21.65
